0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,12.723,17.790
0.000,0.000,0.000,18.942,38.426
0.000,5.772,0.000,26.887,35.206
0.000,3.421,0.000,8.942,24.145
0.000,3.525,3.205,6.821,0.000
0.000,3.005,3.649,3.970,0.000
0.000,2.314,3.963,0.000,0.000
0.000,0.812,1.581,5.273,0.000
0.000,0.000,3.816,2.926,24.269
0.000,3.319,2.068,1.877,59.531
0.000,2.626,1.140,1.919,23.176
0.000,2.480,0.000,1.648,0.000
0.000,2.615,1.381,1.562,0.000
0.000,2.104,1.908,0.000,0.000
0.000,1.990,2.035,2.439,0.000
0.000,2.038,2.140,2.368,0.000
0.000,2.012,1.960,3.667,0.000
0.000,2.305,2.137,4.098,0.000
0.000,2.185,1.871,4.104,0.000
0.000,2.116,1.669,3.963,0.000
0.000,2.175,1.643,2.777,0.000
0.000,2.033,1.540,2.732,0.000
0.000,2.406,1.726,2.357,0.000
0.000,2.210,1.649,1.920,0.000
0.000,2.056,1.529,1.808,0.000
0.000,2.280,1.455,1.718,0.000
0.000,2.244,1.433,1.691,0.000
0.000,2.087,1.352,1.660,0.000
0.000,2.346,1.270,1.662,0.000
0.000,2.411,1.257,1.622,0.000
0.000,2.174,1.472,1.602,0.000
0.000,2.237,1.594,1.513,0.000
0.000,2.225,1.598,1.471,0.000
0.000,2.356,1.611,1.434,0.000
0.000,2.213,1.453,1.399,0.000
0.000,2.211,1.450,1.378,0.000
0.000,2.498,1.634,0.000,0.000
0.000,2.265,1.439,1.749,0.000
0.000,2.280,1.523,1.848,0.000
0.000,2.295,1.527,1.938,0.000
0.000,2.342,1.516,1.737,0.000
0.000,2.315,1.466,1.890,0.000
0.000,2.384,1.484,1.526,0.000
0.000,2.551,1.271,1.476,0.000
0.000,2.471,1.615,1.374,0.000
0.000,2.364,1.587,1.465,0.000
0.000,2.311,1.561,1.612,0.000
0.000,2.135,1.440,1.795,0.000
0.000,2.274,1.411,1.847,0.000
0.000,2.322,1.177,1.851,0.000
0.000,2.168,1.209,1.874,0.000
0.000,2.291,1.603,1.884,0.000
0.000,2.257,1.521,1.863,0.000
0.000,2.242,1.518,1.845,0.000
0.000,2.356,1.628,1.887,0.000
0.000,2.346,1.739,1.912,0.000
0.000,2.356,1.851,1.942,0.000
0.000,2.388,1.735,1.682,0.000
0.000,2.379,1.631,1.575,0.000
0.000,2.276,1.468,1.539,0.000
0.000,2.277,1.432,1.516,0.000
0.000,2.244,1.374,1.475,0.194
0.000,2.145,1.333,1.519,0.081
0.000,2.181,1.551,1.595,0.155
0.000,2.203,1.543,1.580,0.137
0.000,2.283,1.511,1.494,0.275
0.000,2.286,1.578,1.567,0.370
0.000,2.307,1.770,1.500,0.440
0.000,2.404,1.777,1.467,0.530
0.000,2.517,1.857,1.260,0.484
